iter	Logloss
0	0.6815388997
1	0.67180568
2	0.6630859899
3	0.6547216042
4	0.6458444497
5	0.6370516118
6	0.630174355
7	0.6227808687
8	0.6150869258
9	0.6082723296
10	0.6004740921
11	0.5936937365
12	0.5871238053
13	0.5795344716
14	0.5735764651
15	0.5678298269
16	0.5620414498
17	0.5553275826
18	0.5485829357
19	0.5429007933
20	0.5367392838
21	0.5317983726
22	0.5268058646
23	0.5213496152
24	0.5174251176
25	0.5125526874
26	0.508524839
27	0.5037169571
28	0.4999187247
29	0.4957845891
30	0.4920667406
31	0.4877620841
32	0.4844974898
33	0.480745191
34	0.4772250775
35	0.473532136
36	0.4698636819
37	0.4663234855
38	0.4624741807
39	0.4588376599
40	0.4551657975
41	0.4527296348
42	0.4500031881
43	0.446787726
44	0.4436107518
45	0.4402769947
46	0.4375804364
47	0.4340514875
48	0.4316050474
49	0.4287106229
50	0.4255418548
51	0.4230316267
52	0.4202496506
53	0.4180544824
54	0.4155282089
55	0.4130146249
56	0.4108955147
57	0.4088448855
58	0.4069192893
59	0.4046723671
60	0.4023648816
61	0.4002324789
62	0.3979671518
63	0.3960221019
64	0.3939431836
65	0.3922957063
66	0.3905934337
67	0.3891017429
68	0.3873119551
69	0.3859257125
70	0.3847336917
71	0.3830219282
72	0.3810494544
73	0.379282581
74	0.3777227238
75	0.3761650951
76	0.3745152582
77	0.3726512214
78	0.3709725449
79	0.3697372384
80	0.3678625572
81	0.3666225053
82	0.3652467498
83	0.3635388666
84	0.3621877559
85	0.3609691502
86	0.3595089732
87	0.3582655654
88	0.3569856362
89	0.3558833591
90	0.3546188197
91	0.3535420264
92	0.3524962225
93	0.3514676963
94	0.3505044262
95	0.3492476211
96	0.3482844297
97	0.3473470367
98	0.3463343984
99	0.3453329027
100	0.3444211245
101	0.3437433407
102	0.3424394745
103	0.3416493472
104	0.340594236
105	0.339949775
106	0.3393244268
107	0.3384854818
108	0.3374933197
109	0.3364444484
110	0.3357012772
111	0.3347429885
112	0.3340358406
113	0.3335012324
114	0.332739499
115	0.332088536
116	0.3314534086
117	0.3306052873
118	0.3299642084
119	0.3294340048
120	0.328929521
121	0.3282364783
122	0.3272207988
123	0.326437357
124	0.3258215521
125	0.3251312361
126	0.3245258135
127	0.3237725222
128	0.3230946334
129	0.3223174315
130	0.3217365488
131	0.3211371563
132	0.3201961452
133	0.3195094472
134	0.3189678913
135	0.3183945594
136	0.3175989787
137	0.3172429665
138	0.3168245558
139	0.316188301
140	0.315520244
141	0.3151639696
142	0.3145178307
143	0.31385777
144	0.3133965981
145	0.3128535477
146	0.3125527241
147	0.3121975247
148	0.3117201763
149	0.3110490517
150	0.310696343
151	0.3100914709
152	0.3095876949
153	0.3092330723
154	0.3085331081
155	0.3078637926
156	0.3072576097
157	0.3066364301
158	0.3060349402
159	0.3052677273
160	0.3050441676
161	0.3044878248
162	0.3038276594
163	0.3030802933
164	0.302667939
165	0.3018919168
166	0.3014977314
167	0.3010690958
168	0.3004603959
169	0.3000186252
170	0.2992349474
171	0.2987548199
172	0.2983088543
173	0.2978515101
174	0.2975604133
175	0.2969179973
176	0.2966236757
177	0.2957336321
178	0.2952550777
179	0.2948847505
180	0.2943743414
181	0.2937331839
182	0.2933390771
183	0.2925240953
184	0.2921391648
185	0.2914816473
186	0.2911286239
187	0.2906694969
188	0.2903097356
189	0.2896945862
190	0.2892392345
191	0.2887864523
192	0.2884149191
193	0.2879191395
194	0.2875027214
195	0.2872010588
196	0.2866701736
197	0.2862217959
198	0.2858373373
199	0.2855136517
200	0.2849811148
201	0.2844597728
202	0.2841904893
203	0.2839691582
204	0.2834705471
205	0.2831071152
206	0.2824156456
207	0.2821188596
208	0.2817069247
209	0.2815131486
210	0.2810455532
211	0.2806115953
212	0.2799038969
213	0.2792311206
214	0.2789277801
215	0.2786761936
216	0.278351302
217	0.2780602314
218	0.277393459
219	0.2768888703
220	0.2766329841
221	0.2763213849
222	0.2758938766
223	0.275573075
224	0.2750645274
225	0.2746663831
226	0.2742328972
227	0.273527165
228	0.2729484847
229	0.2726150722
230	0.2723131999
231	0.271897411
232	0.2717060994
233	0.2713972793
234	0.2710818261
235	0.2707328403
236	0.270290886
237	0.2698812845
238	0.26953943
239	0.2689716038
240	0.2687942138
241	0.2685161473
